#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321A18885
#Date Time: 2021-12-02 11:30:20.134
#Start: 100 Hz
#Stop: 1.79e+06 Hz
#Steps: 151
#Wavegen: Wavegen1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16 
#Channel: Channel 2
#Range: 60.4918 V
#Offset: -0.00337698 V
#Relative: yes

Frequency (Hz),Channel 2 Magnitude (dB),Channel 2 Phase (*)
99.99999999999997,-0.1997411070242854,-0.6668670508670402
106.7461827407249,-0.246706075999101,-0.7417971784233348
113.9474752971624,-0.1009177723934528,-0.8892902299262175
121.6345802091517,-0.1334533840258462,-0.7717094951380261
129.8402712659747,-0.1290763361122733,-0.9803551169237448
138.5995332366304,-0.1836756234373107,-1.227993059501358
147.9497110265652,-0.1685170571490059,-1.298304694044962
157.9306688967918,-0.1570796837620681,-1.155105192746149
168.584960424219,-0.1759814284004939,-1.363159157468459
179.9580099278157,-0.1513764346638585,-1.454770236425059
192.0983061341181,-0.1622924383593563,-1.656110459721075
205.0576089077631,-0.1504687025936152,-1.614589135897532
218.8911699284419,-0.1580795032691623,-1.768180964229643
233.6579682551256,-0.1994197914092475,-2.000296958633101
249.4209617818817,-0.1432416207150721,-2.341388863674524
266.247355657361,-0.1368246770366035,-2.495422898952725
284.2088888123548,-0.163170884363461,-2.626134431814187
303.3821398170199,-0.1550311534049976,-2.390742971883526
323.8488533717981,-0.1594384317184784,-2.777349016015989
345.6962888240024,-0.1624571593017183,-2.873291959032024
369.0175921959739,-0.1827384242140455,-3.044644273833512
393.9121933109375,-0.1480923985322779,-3.577131403280752
420.4862297096915,-0.1396981373252876,-3.540116580490405
448.8529991654918,-0.09854696598336411,-3.850566095813747
479.133442726421,-0.1645405252492886,-4.248820488720099
511.4566603446721,-0.09730819217575615,-4.429897208238287
545.9604612911326,-0.07000067268974015,-4.716309943363896
582.7919517019373,-0.08245635246698857,-5.123066934624688
622.1081617619882,-0.06358673149602993,-5.448127510198745
