#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2NI
#Serial Number: SN:210321ABE52A
#Date Time: 2021-12-09 11:37:55.444
#Start: 100 Hz
#Stop: 50000 Hz
#Steps: 151
#Wavegen: Wavegen1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16 
#Channel: Channel 1
#Range: 61.1815 V
#Offset: -0.00313441 V
#Relative: no
#Channel: Channel 2
#Range: 61.0913 V
#Offset: 0.00303711 V
#Relative: yes

Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (*)
100.0000000000001,-0.3441929242289412,-0.1264725340095477,-1.17673897880357
104.2300949424216,-0.3318231770140698,-0.1348843198984764,-1.377223738945986
108.6391269170621,-0.3403358435961085,-0.1433636079881597,-1.206137465113159
113.2346651302716,-0.3312716120293636,-0.1181020648078298,-1.365044969157296
118.0245989730151,-0.3389849904424398,-0.109924095156853,-1.493041864470896
123.0171515649861,-0.3316767800863151,-0.1239170050764478,-1.564159218291707
128.2208938716475,-0.343817977072627,-0.1291114361206319,-1.610278591479911
133.6447594184397,-0.3302122424871731,-0.1456656461529261,-1.718909525721983
139.2980596274105,-0.3275580641136425,-0.1235798977938058,-1.791514114377051
145.1904998026008,-0.3101306852398173,-0.1485773481712762,-1.870542545408028
151.3321957916271,-0.3129302137616657,-0.1587653781096396,-1.757866472095543
157.7336913520643,-0.3308801609733441,-0.1404244930586309,-1.925450756966796
164.4059762524425,-0.3193682685210822,-0.1522055181037889,-2.001832398619001
171.360505138936,-0.3256670098239817,-0.1345897760241768,-2.024570165080524
178.609217200126,-0.3150407864032897,-0.148619605727941,-2.307861245733562
186.1645566636072,-0.3100965435063407,-0.1652568635543757,-2.222318584628617
194.0394941596158,-0.3169047920443956,-0.1502745986763865,-2.471468704830954
202.247548988362,-0.3178798175402945,-0.1646094588520204,-2.520424120838447
210.8028123292901,-0.3213859550110718,-0.1502963166212722,-2.513436197478768
219.7199714321139,-0.3162520039958601,-0.140573006591839,-2.725592259122621
229.0143348311534,-0.3161176116892905,-0.1738255605915105,-2.815283026017738
238.7018586262665,-0.3249860730753818,-0.1413029008600266,-3.01856344352916
248.7991738754823,-0.3117910624264134,-0.163528695752795,-3.141581500940752
259.3236151463755,-0.3397690220709648,-0.1398017565546577,-3.36975247707673
270.2932502751869,-0.3225733340415955,-0.1508409421980941,-3.361075980172018
281.7269113847843,-0.3390360145693171,-0.1570348218197668,-3.621644886623791
293.6442272147124,-0.3091942730205095,-0.1654968073652532,-3.548921506129427
306.0656568188346,-0.2980982960282431,-0.1737533691561456,-3.592131609124863
319.0125246884172,-0.3107121431209129,-0.1948822174900931,-3.867139009058907
332.5070573609534,-0.315273823039979,-0.1845685802592284,-4.050152837706747
346.5724215775736,-0.3304690245418893,-0.1536890466926782,-4.222045742220374
361.2327640545542,-0.3215783766085972,-0.1774957557032557,-4.346277129868056
376.5132529371953,-0.3361717385338462,-0.1510207283623053,-4.560524970071526
392.4401210072382,-0.2969429019957074,-0.2118621889748897,-4.849170662198418
409.0407107179982,-0.3386974178669195,-0.1892617600611854,-5.053083048946576
426.3435211345256,-0.3204058134482504,-0.2068765212583834,-5.281237081292952
444.3782568593789,-0.3004522836647147,-0.2177122333756163,-5.471494201074307
463.1758790280082,-0.310703731398887,-0.2273702274579552,-5.689196660306081
482.7686584612883,-0.3131715186275705,-0.2271574233581315,-5.979114175495042
503.1902310664553,-0.324490789444542,-0.2104236536538115,-6.221519070714518
524.4756555815562,-0.3070992668484812,-0.2432006900743315,-5.989516003334103
